Soil Type,Factor,Condition Level,min_value,max_value,Message,Advice
Non-Calcic Brown,Temperature (°C),Low,28.68,29.49,Temperature is lower than normal.,This is a normal condition.
Non-Calcic Brown,Temperature (°C),Optimal,29.49,31.6,Temperature is at an optimal level.,Environmental condition is good.
Non-Calcic Brown,Temperature (°C),High,31.6,32.4,Temperature is increasing.,Perform mulching.
Non-Calcic Brown,Temperature (°C),Critical High,32.4,99999.0,Temperature is extremely high.,Provide extra shade. Perform irrigation.
Low Humic Gley,Moisture (%),Critical Low,0.0,11.56,The soil is extremely dry.,Apply a large amount of water immediately.
Low Humic Gley,Moisture (%),Low,11.56,21.48,Moisture levels are decreasing.,Start irrigation.
Low Humic Gley,Moisture (%),Optimal,21.48,54.49,Moisture level is very good.,Maintain the current condition consistently.
Low Humic Gley,Moisture (%),High,54.49,63.85,Moisture level is high.,Stop watering.
Low Humic Gley,Moisture (%),Critical High,63.85,99999.0,The soil is saturated with water.,Improve drainage immediately.
Low Humic Gley,pH Level,Critical Low,0.0,6.43,The soil is extremely acidic.,Apply a high dose of dolomite immediately.
Low Humic Gley,pH Level,Low,6.43,6.58,Acidity is increasing.,Apply agricultural lime or dolomite.
Low Humic Gley,pH Level,Optimal,6.58,6.92,pH level is at an optimal level.,Soil condition is good.
Low Humic Gley,pH Level,High,6.92,7.07,Alkalinity is increasing.,Apply organic fertilizer or compost.
Low Humic Gley,pH Level,Critical High,7.07,99999.0,The soil is extremely alkaline.,Apply sulfur-containing materials.
Low Humic Gley,Nitrogen (N),Critical Low,0.0,38.7,Nitrogen deficiency is very severe.,Apply a high dose of fertilizer rich in Nitrogen immediately.
Low Humic Gley,Nitrogen (N),Low,38.7,41.58,Nitrogen quantity is decreasing.,Apply fertilizer containing Nitrogen.
Low Humic Gley,Nitrogen (N),Optimal,41.58,48.33,Nitrogen quantity is optimal.,Additional fertilizer is not required.
Low Humic Gley,Nitrogen (N),High,48.33,51.35,Nitrogen quantity is at a high level.,Temporarily stop applying this fertilizer.
Low Humic Gley,Nitrogen (N),Critical High,51.35,99999.0,Nitrogen quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Low Humic Gley,Phosphorus (P),Critical Low,0.0,12.85,Phosphorus deficiency is very severe.,Apply a high dose of fertilizer rich in Phosphorus immediately.
Low Humic Gley,Phosphorus (P),Low,12.85,13.87,Phosphorus quantity is decreasing.,Apply fertilizer containing Phosphorus.
Low Humic Gley,Phosphorus (P),Optimal,13.87,16.14,Phosphorus quantity is optimal.,Additional fertilizer is not required.
Low Humic Gley,Phosphorus (P),High,16.14,17.13,Phosphorus quantity is at a high level.,Temporarily stop applying this fertilizer.
Low Humic Gley,Phosphorus (P),Critical High,17.13,99999.0,Phosphorus quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Low Humic Gley,Potassium (K),Critical Low,0.0,114.35,Potassium deficiency is very severe.,Apply a high dose of fertilizer rich in Potassium immediately.
Low Humic Gley,Potassium (K),Low,114.35,119.23,Potassium quantity is decreasing.,Apply fertilizer containing Potassium.
Low Humic Gley,Potassium (K),Optimal,119.23,130.81,Potassium quantity is optimal.,Additional fertilizer is not required.
Low Humic Gley,Potassium (K),High,130.81,135.86,Potassium quantity is at a high level.,Temporarily stop applying this fertilizer.
Low Humic Gley,Potassium (K),Critical High,135.86,99999.0,Potassium quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Low Humic Gley,Temperature (°C),Critical Low,0.0,28.28,Temperature is extremely low.,Apply plant covers.
Low Humic Gley,Temperature (°C),Low,28.28,28.97,Temperature is lower than normal.,This is a normal condition.
Low Humic Gley,Temperature (°C),Optimal,28.97,31.01,Temperature is at an optimal level.,Environmental condition is good.
Low Humic Gley,Temperature (°C),High,31.01,31.74,Temperature is increasing.,Perform mulching.
Low Humic Gley,Temperature (°C),Critical High,31.74,99999.0,Temperature is extremely high.,Provide extra shade. Perform irrigation.
Regosols,Moisture (%),Critical Low,0.0,11.58,The soil is extremely dry.,Apply a large amount of water immediately.
Regosols,Moisture (%),Low,11.58,21.63,Moisture levels are decreasing.,Start irrigation.
Regosols,Moisture (%),Optimal,21.63,53.55,Moisture level is very good.,Maintain the current condition consistently.
Regosols,Moisture (%),High,53.55,63.39,Moisture level is high.,Stop watering.
Regosols,Moisture (%),Critical High,63.39,99999.0,The soil is saturated with water.,Improve drainage immediately.
Regosols,pH Level,Critical Low,0.0,6.92,The soil is extremely acidic.,Apply a high dose of dolomite immediately.
Regosols,pH Level,Low,6.92,7.08,Acidity is increasing.,Apply agricultural lime or dolomite.
Regosols,pH Level,Optimal,7.08,7.41,pH level is at an optimal level.,Soil condition is good.
Regosols,pH Level,High,7.41,7.57,Alkalinity is increasing.,Apply organic fertilizer or compost.
Regosols,pH Level,Critical High,7.57,99999.0,The soil is extremely alkaline.,Apply sulfur-containing materials.
Regosols,Nitrogen (N),Critical Low,0.0,9.18,Nitrogen deficiency is very severe.,Apply a high dose of fertilizer rich in Nitrogen immediately.
Regosols,Nitrogen (N),Low,9.18,10.68,Nitrogen quantity is decreasing.,Apply fertilizer containing Nitrogen.
Regosols,Nitrogen (N),Optimal,10.68,14.22,Nitrogen quantity is optimal.,Additional fertilizer is not required.
Regosols,Nitrogen (N),High,14.22,15.71,Nitrogen quantity is at a high level.,Temporarily stop applying this fertilizer.
Regosols,Nitrogen (N),Critical High,15.71,99999.0,Nitrogen quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Regosols,Phosphorus (P),Critical Low,0.0,4.35,Phosphorus deficiency is very severe.,Apply a high dose of fertilizer rich in Phosphorus immediately.
Regosols,Phosphorus (P),Low,4.35,5.1,Phosphorus quantity is decreasing.,Apply fertilizer containing Phosphorus.
Regosols,Phosphorus (P),Optimal,5.1,6.85,Phosphorus quantity is optimal.,Additional fertilizer is not required.
Regosols,Phosphorus (P),High,6.85,7.68,Phosphorus quantity is at a high level.,Temporarily stop applying this fertilizer.
Regosols,Phosphorus (P),Critical High,7.68,99999.0,Phosphorus quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Regosols,Potassium (K),Critical Low,0.0,41.51,Potassium deficiency is very severe.,Apply a high dose of fertilizer rich in Potassium immediately.
Regosols,Potassium (K),Low,41.51,45.59,Potassium quantity is decreasing.,Apply fertilizer containing Potassium.
Regosols,Potassium (K),Optimal,45.59,54.54,Potassium quantity is optimal.,Additional fertilizer is not required.
Regosols,Potassium (K),High,54.54,58.66,Potassium quantity is at a high level.,Temporarily stop applying this fertilizer.
Regosols,Potassium (K),Critical High,58.66,99999.0,Potassium quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Regosols,Temperature (°C),Critical Low,0.0,29.95,Temperature is extremely low.,Apply plant covers.
Regosols,Temperature (°C),Low,29.95,30.89,Temperature is lower than normal.,This is a normal condition.
Regosols,Temperature (°C),Optimal,30.89,33.11,Temperature is at an optimal level.,Environmental condition is good.
Regosols,Temperature (°C),High,33.11,33.97,Temperature is increasing.,Perform mulching.
Regosols,Temperature (°C),Critical High,33.97,99999.0,Temperature is extremely high.,Provide extra shade. Perform irrigation.
Red Yellow Podzolic,Moisture (%),Critical Low,0.0,11.88,The soil is extremely dry.,Apply a large amount of water immediately.
Red Yellow Podzolic,Moisture (%),Low,11.88,21.46,Moisture levels are decreasing.,Start irrigation.
Red Yellow Podzolic,Moisture (%),Optimal,21.46,53.8,Moisture level is very good.,Maintain the current condition consistently.
Red Yellow Podzolic,Moisture (%),High,53.8,63.49,Moisture level is high.,Stop watering.
Red Yellow Podzolic,Moisture (%),Critical High,63.49,99999.0,The soil is saturated with water.,Improve drainage immediately.
Red Yellow Podzolic,pH Level,Critical Low,0.0,4.79,The soil is extremely acidic.,Apply a high dose of dolomite immediately.
Red Yellow Podzolic,pH Level,Low,4.79,4.88,Acidity is increasing.,Apply agricultural lime or dolomite.
Red Yellow Podzolic,pH Level,Optimal,4.88,5.11,pH level is at an optimal level.,Soil condition is good.
Red Yellow Podzolic,pH Level,High,5.11,5.21,Alkalinity is increasing.,Apply organic fertilizer or compost.
Red Yellow Podzolic,pH Level,Critical High,5.21,99999.0,The soil is extremely alkaline.,Apply sulfur-containing materials.
Red Yellow Podzolic,Nitrogen (N),Critical Low,0.0,28.54,Nitrogen deficiency is very severe.,Apply a high dose of fertilizer rich in Nitrogen immediately.
Red Yellow Podzolic,Nitrogen (N),Low,28.54,31.63,Nitrogen quantity is decreasing.,Apply fertilizer containing Nitrogen.
Red Yellow Podzolic,Nitrogen (N),Optimal,31.63,38.45,Nitrogen quantity is optimal.,Additional fertilizer is not required.
Red Yellow Podzolic,Nitrogen (N),High,38.45,41.36,Nitrogen quantity is at a high level.,Temporarily stop applying this fertilizer.
Red Yellow Podzolic,Nitrogen (N),Critical High,41.36,99999.0,Nitrogen quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Red Yellow Podzolic,Phosphorus (P),Critical Low,0.0,7.87,Phosphorus deficiency is very severe.,Apply a high dose of fertilizer rich in Phosphorus immediately.
Red Yellow Podzolic,Phosphorus (P),Low,7.87,8.87,Phosphorus quantity is decreasing.,Apply fertilizer containing Phosphorus.
Red Yellow Podzolic,Phosphorus (P),Optimal,8.87,11.09,Phosphorus quantity is optimal.,Additional fertilizer is not required.
Red Yellow Podzolic,Phosphorus (P),High,11.09,12.16,Phosphorus quantity is at a high level.,Temporarily stop applying this fertilizer.
Red Yellow Podzolic,Phosphorus (P),Critical High,12.16,99999.0,Phosphorus quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Red Yellow Podzolic,Potassium (K),Critical Low,0.0,77.07,Potassium deficiency is very severe.,Apply a high dose of fertilizer rich in Potassium immediately.
Red Yellow Podzolic,Potassium (K),Low,77.07,83.22,Potassium quantity is decreasing.,Apply fertilizer containing Potassium.
Red Yellow Podzolic,Potassium (K),Optimal,83.22,96.3,Potassium quantity is optimal.,Additional fertilizer is not required.
Red Yellow Podzolic,Potassium (K),High,96.3,102.11,Potassium quantity is at a high level.,Temporarily stop applying this fertilizer.
Red Yellow Podzolic,Potassium (K),Critical High,102.11,99999.0,Potassium quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Red Yellow Podzolic,Temperature (°C),Critical Low,0.0,20.71,Temperature is extremely low.,Apply plant covers.
Red Yellow Podzolic,Temperature (°C),Low,20.71,21.79,Temperature is lower than normal.,This is a normal condition.
Red Yellow Podzolic,Temperature (°C),Optimal,21.79,24.23,Temperature is at an optimal level.,Environmental condition is good.
Red Yellow Podzolic,Temperature (°C),High,24.23,25.38,Temperature is increasing.,Perform mulching.
Red Yellow Podzolic,Temperature (°C),Critical High,25.38,99999.0,Temperature is extremely high.,Provide extra shade. Perform irrigation.
Solodized Solonetz,Moisture (%),Critical Low,0.0,11.43,The soil is extremely dry.,Apply a large amount of water immediately.
Solodized Solonetz,Moisture (%),Low,11.43,21.12,Moisture levels are decreasing.,Start irrigation.
Solodized Solonetz,Moisture (%),Optimal,21.12,53.17,Moisture level is very good.,Maintain the current condition consistently.
Solodized Solonetz,Moisture (%),High,53.17,64.15,Moisture level is high.,Stop watering.
Solodized Solonetz,Moisture (%),Critical High,64.15,99999.0,The soil is saturated with water.,Improve drainage immediately.
Solodized Solonetz,pH Level,Critical Low,0.0,7.92,The soil is extremely acidic.,Apply a high dose of dolomite immediately.
Solodized Solonetz,pH Level,Low,7.92,8.07,Acidity is increasing.,Apply agricultural lime or dolomite.
Solodized Solonetz,pH Level,Optimal,8.07,8.41,pH level is at an optimal level.,Soil condition is good.
Solodized Solonetz,pH Level,High,8.41,8.55,Alkalinity is increasing.,Apply organic fertilizer or compost.
Solodized Solonetz,pH Level,Critical High,8.55,99999.0,The soil is extremely alkaline.,Apply sulfur-containing materials.
Solodized Solonetz,Nitrogen (N),Critical Low,0.0,15.9,Nitrogen deficiency is very severe.,Apply a high dose of fertilizer rich in Nitrogen immediately.
Solodized Solonetz,Nitrogen (N),Low,15.9,17.93,Nitrogen quantity is decreasing.,Apply fertilizer containing Nitrogen.
Solodized Solonetz,Nitrogen (N),Optimal,17.93,22.19,Nitrogen quantity is optimal.,Additional fertilizer is not required.
Solodized Solonetz,Nitrogen (N),High,22.19,24.21,Nitrogen quantity is at a high level.,Temporarily stop applying this fertilizer.
Solodized Solonetz,Nitrogen (N),Critical High,24.21,99999.0,Nitrogen quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Solodized Solonetz,Phosphorus (P),Critical Low,0.0,12.94,Phosphorus deficiency is very severe.,Apply a high dose of fertilizer rich in Phosphorus immediately.
Solodized Solonetz,Phosphorus (P),Low,12.94,13.94,Phosphorus quantity is decreasing.,Apply fertilizer containing Phosphorus.
Solodized Solonetz,Phosphorus (P),Optimal,13.94,16.14,Phosphorus quantity is optimal.,Additional fertilizer is not required.
Solodized Solonetz,Phosphorus (P),High,16.14,17.08,Phosphorus quantity is at a high level.,Temporarily stop applying this fertilizer.
Solodized Solonetz,Phosphorus (P),Critical High,17.08,99999.0,Phosphorus quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Solodized Solonetz,Potassium (K),Critical Low,0.0,284.16,Potassium deficiency is very severe.,Apply a high dose of fertilizer rich in Potassium immediately.
Solodized Solonetz,Potassium (K),Low,284.16,314.11,Potassium quantity is decreasing.,Apply fertilizer containing Potassium.
Solodized Solonetz,Potassium (K),Optimal,314.11,384.54,Potassium quantity is optimal.,Additional fertilizer is not required.
Solodized Solonetz,Potassium (K),High,384.54,415.41,Potassium quantity is at a high level.,Temporarily stop applying this fertilizer.
Solodized Solonetz,Potassium (K),Critical High,415.41,99999.0,Potassium quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Solodized Solonetz,Temperature (°C),Critical Low,0.0,30.62,Temperature is extremely low.,Apply plant covers.
Solodized Solonetz,Temperature (°C),Low,30.62,31.4,Temperature is lower than normal.,This is a normal condition.
Solodized Solonetz,Temperature (°C),Optimal,31.4,33.59,Temperature is at an optimal level.,Environmental condition is good.
Solodized Solonetz,Temperature (°C),High,33.59,34.38,Temperature is increasing.,Perform mulching.
Solodized Solonetz,Temperature (°C),Critical High,34.38,99999.0,Temperature is extremely high.,Provide extra shade. Perform irrigation.
Alluvial Soils,Moisture (%),Critical Low,0.0,12.26,The soil is extremely dry.,Apply a large amount of water immediately.
Alluvial Soils,Moisture (%),Low,12.26,21.57,Moisture levels are decreasing.,Start irrigation.
Alluvial Soils,Moisture (%),Optimal,21.57,53.58,Moisture level is very good.,Maintain the current condition consistently.
Alluvial Soils,Moisture (%),High,53.58,62.96,Moisture level is high.,Stop watering.
Alluvial Soils,Moisture (%),Critical High,62.96,99999.0,The soil is saturated with water.,Improve drainage immediately.
Alluvial Soils,pH Level,Critical Low,0.0,5.93,The soil is extremely acidic.,Apply a high dose of dolomite immediately.
Alluvial Soils,pH Level,Low,5.93,6.08,Acidity is increasing.,Apply agricultural lime or dolomite.
Alluvial Soils,pH Level,Optimal,6.08,6.41,pH level is at an optimal level.,Soil condition is good.
Alluvial Soils,pH Level,High,6.41,6.55,Alkalinity is increasing.,Apply organic fertilizer or compost.
Alluvial Soils,pH Level,Critical High,6.55,99999.0,The soil is extremely alkaline.,Apply sulfur-containing materials.
Alluvial Soils,Nitrogen (N),Critical Low,0.0,71.62,Nitrogen deficiency is very severe.,Apply a high dose of fertilizer rich in Nitrogen immediately.
Alluvial Soils,Nitrogen (N),Low,71.62,75.62,Nitrogen quantity is decreasing.,Apply fertilizer containing Nitrogen.
Alluvial Soils,Nitrogen (N),Optimal,75.62,84.3,Nitrogen quantity is optimal.,Additional fertilizer is not required.
Alluvial Soils,Nitrogen (N),High,84.3,88.39,Nitrogen quantity is at a high level.,Temporarily stop applying this fertilizer.
Alluvial Soils,Nitrogen (N),Critical High,88.39,99999.0,Nitrogen quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Alluvial Soils,Phosphorus (P),Critical Low,0.0,25.54,Phosphorus deficiency is very severe.,Apply a high dose of fertilizer rich in Phosphorus immediately.
Alluvial Soils,Phosphorus (P),Low,25.54,27.59,Phosphorus quantity is decreasing.,Apply fertilizer containing Phosphorus.
Alluvial Soils,Phosphorus (P),Optimal,27.59,32.14,Phosphorus quantity is optimal.,Additional fertilizer is not required.
Alluvial Soils,Phosphorus (P),High,32.14,34.16,Phosphorus quantity is at a high level.,Temporarily stop applying this fertilizer.
Alluvial Soils,Phosphorus (P),Critical High,34.16,99999.0,Phosphorus quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Alluvial Soils,Potassium (K),Critical Low,0.0,177.99,Potassium deficiency is very severe.,Apply a high dose of fertilizer rich in Potassium immediately.
Alluvial Soils,Potassium (K),Low,177.99,188.42,Potassium quantity is decreasing.,Apply fertilizer containing Potassium.
Alluvial Soils,Potassium (K),Optimal,188.42,210.81,Potassium quantity is optimal.,Additional fertilizer is not required.
Alluvial Soils,Potassium (K),High,210.81,221.75,Potassium quantity is at a high level.,Temporarily stop applying this fertilizer.
Alluvial Soils,Potassium (K),Critical High,221.75,99999.0,Potassium quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Alluvial Soils,Temperature (°C),Critical Low,0.0,26.6,Temperature is extremely low.,Apply plant covers.
Alluvial Soils,Temperature (°C),Low,26.6,27.39,Temperature is lower than normal.,This is a normal condition.
Alluvial Soils,Temperature (°C),Optimal,27.39,29.52,Temperature is at an optimal level.,Environmental condition is good.
Alluvial Soils,Temperature (°C),High,29.52,30.39,Temperature is increasing.,Perform mulching.
Alluvial Soils,Temperature (°C),Critical High,30.39,99999.0,Temperature is extremely high.,Provide extra shade. Perform irrigation.
Immature Brown Loams,Moisture (%),Critical Low,0.0,11.66,The soil is extremely dry.,Apply a large amount of water immediately.
Immature Brown Loams,Moisture (%),Low,11.66,21.92,Moisture levels are decreasing.,Start irrigation.
Immature Brown Loams,Moisture (%),Optimal,21.92,53.61,Moisture level is very good.,Maintain the current condition consistently.
Immature Brown Loams,Moisture (%),High,53.61,63.52,Moisture level is high.,Stop watering.
Immature Brown Loams,Moisture (%),Critical High,63.52,99999.0,The soil is saturated with water.,Improve drainage immediately.
Immature Brown Loams,pH Level,Critical Low,0.0,5.29,The soil is extremely acidic.,Apply a high dose of dolomite immediately.
Immature Brown Loams,pH Level,Low,5.29,5.39,Acidity is increasing.,Apply agricultural lime or dolomite.
Immature Brown Loams,pH Level,Optimal,5.39,5.62,pH level is at an optimal level.,Soil condition is good.
Immature Brown Loams,pH Level,High,5.62,5.72,Alkalinity is increasing.,Apply organic fertilizer or compost.
Immature Brown Loams,pH Level,Critical High,5.72,99999.0,The soil is extremely alkaline.,Apply sulfur-containing materials.
Immature Brown Loams,Nitrogen (N),Critical Low,0.0,33.51,Nitrogen deficiency is very severe.,Apply a high dose of fertilizer rich in Nitrogen immediately.
Immature Brown Loams,Nitrogen (N),Low,33.51,36.82,Nitrogen quantity is decreasing.,Apply fertilizer containing Nitrogen.
Immature Brown Loams,Nitrogen (N),Optimal,36.82,43.46,Nitrogen quantity is optimal.,Additional fertilizer is not required.
Immature Brown Loams,Nitrogen (N),High,43.46,46.59,Nitrogen quantity is at a high level.,Temporarily stop applying this fertilizer.
Immature Brown Loams,Nitrogen (N),Critical High,46.59,99999.0,Nitrogen quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Immature Brown Loams,Phosphorus (P),Critical Low,0.0,12.83,Phosphorus deficiency is very severe.,Apply a high dose of fertilizer rich in Phosphorus immediately.
Immature Brown Loams,Phosphorus (P),Low,12.83,13.85,Phosphorus quantity is decreasing.,Apply fertilizer containing Phosphorus.
Immature Brown Loams,Phosphorus (P),Optimal,13.85,16.1,Phosphorus quantity is optimal.,Additional fertilizer is not required.
Immature Brown Loams,Phosphorus (P),High,16.1,17.16,Phosphorus quantity is at a high level.,Temporarily stop applying this fertilizer.
Immature Brown Loams,Phosphorus (P),Critical High,17.16,99999.0,Phosphorus quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Immature Brown Loams,Potassium (K),Critical Low,0.0,109.54,Potassium deficiency is very severe.,Apply a high dose of fertilizer rich in Potassium immediately.
Immature Brown Loams,Potassium (K),Low,109.54,117.23,Potassium quantity is decreasing.,Apply fertilizer containing Potassium.
Immature Brown Loams,Potassium (K),Optimal,117.23,132.48,Potassium quantity is optimal.,Additional fertilizer is not required.
Immature Brown Loams,Potassium (K),High,132.48,139.75,Potassium quantity is at a high level.,Temporarily stop applying this fertilizer.
Immature Brown Loams,Potassium (K),Critical High,139.75,99999.0,Potassium quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Immature Brown Loams,Temperature (°C),Critical Low,0.0,22.33,Temperature is extremely low.,Apply plant covers.
Immature Brown Loams,Temperature (°C),Low,22.33,23.34,Temperature is lower than normal.,This is a normal condition.
Immature Brown Loams,Temperature (°C),Optimal,23.34,25.73,Temperature is at an optimal level.,Environmental condition is good.
Immature Brown Loams,Temperature (°C),High,25.73,26.58,Temperature is increasing.,Perform mulching.
Immature Brown Loams,Temperature (°C),Critical High,26.58,99999.0,Temperature is extremely high.,Provide extra shade. Perform irrigation.
